link,title,writer
http://sports.yahoo.com/blogs/nhl-puck-daddy/on-sidney-crosby--nhl-all-star-game-suspensions-and-bad-vibes-220351008.html,"On Sidney Crosby, NHL All-Star game suspensions and bad vibes",greg
http://www.espn.com/nhl/story/_/id/25667406/nhl-winter-classic-offers-glimpse-boston-bruins-david-pastrnak-all-world-personality-2019,"NHL - Winter Classic offers glimpse of Boston Bruins' David Pastrnak, an 'all-world' personality - 2019",greg
http://www.espn.com/nhl/story/_/id/25663627/gary-bettman-considers-dallas-stars-president-jim-lites-profanity-filled-comments-two-players-internal-team-matter,Gary Bettman considers Dallas Stars' president Jim Lites profanity filled comments on two of his players as an internal team matter,greg
http://www.espn.com/nhl/story/_/id/25663207/nhl-announces-sites-heritage-winter-classics-stadium-series-game,"NHL announces sites Heritage, Winter Classics, Stadium Series game",greg
http://www.espn.com/nhl/story/_/id/25660889/overexposed-blackhawks-not-winter-classic-newbies,Overexposed Blackhawks? Not for Winter Classic newbies,greg
http://www.espn.com/nhl/story/_/id/25658145/the-hockey-world-2019,"What's in, what's out in the hockey world for 2019",greg
http://www.espn.com/nhl/story/_/id/25654308/winter-classic-practice-moves-due-rain,Winter Classic practice moves inside due to rain,greg
http://www.espn.com/nhl/story/_/id/25649820/honoring-top-hockey-people-2018,Honoring the top hockey people of 2018,greg
http://www.espn.com/nhl/story/_/id/25633448/penguins-celebrate-fans-connected-kidney-transplant,Penguins celebrate fans they connected for kidney transplant,greg
http://www.espn.com/nhl/story/_/id/25626620/2019-predictions-gritty-holiday-spirit,The Wysh list: Bold predictions for 2019; Gritty dresses up as Santa,greg
http://www.espn.com/nhl/story/_/id/25625510/the-ultimate-2018-hockey-quiz,The ultimate 2018 hockey quiz,greg
http://www.espn.com/nhl/story/_/id/25589232/columbus-blue-jackets-seth-jones-talks-john-tortorella-anger-artemi-panarin-free-agency-cooking-teammates,"Columbus Blue Jackets' Seth Jones talks John Tortorella's anger, Artemi Panarin's free agency and cooking for teammates",greg
http://www.espn.com/nhl/story/_/id/25584838/ten-nhl-players-teams-want-reset-2018,The Wysh list: 10 NHL people and teams that want 'reset' from a bad 2018,greg
http://www.espn.com/wwe/story/_/id/25583039/wwe-year-review-2018-lapsed-fan-guide-year-was-professional-wrestling,Lapsed WWE fan's 2018 year in review,greg
http://www.espn.com/nhl/story/_/id/25575732/teddy-bear-toss-goes-awry-puck-stops-shy,Teddy Bear Toss goes awry when puck stops shy,greg
"https://6abc.com/sports/20-year-old-carter-hart-wins-flyers-debut
/4927656/",20-year-old Carter Hart wins Philadelphia Flyers debut,greg
https://6abc.com/sports/rookie-carter-hart-enjoys-successful-debut-for-flyers-new-coach/4925815/,"Rookie Carter Hart enjoys successful debut for Flyers, new coach",greg
http://www.espn.com/nhl/story/_/id/25569501/rookie-goaltender-carter-hart-gets-win-philadelphia-flyers-debut,Rookie goaltender Carter Hart gets win in Philadelphia Flyers debut,greg
http://www.espn.com/nhl/story/_/id/25566870/andrew-dagostini-best-hockey-player-world-week,Andrew D'Agostini is the best hockey player in the world of the week,greg
http://www.espn.com/nhl/story/_/id/25560053/here-philadelphia-flyers-plan-success,Here's the Philadelphia Flyers' plan for success,greg
http://www.espn.com/nhl/story/_/id/25528710/picking-goal-songs-nhl-stars,If NHL stars had their own goal songs ...,greg
http://www.espn.com/nhl/story/_/id/25517039/nhl-confirms-st-louis-blues-shot-hit-referee-hit-goalie-went-net-not-goal,"NHL confirms St. Louis Blues shot that hit referee, hit goalie and went into net is not a goal",greg
http://www.wohfradio.com/national-sports/miro-heiskanens-texas-sized-expectations/,Miro Heiskanen's Texas-sized expectations,greg
http://www.espn.com/nhl/story/_/id/25510562/stars-rookie-miro-heiskanen-living-texas-sized-expectations,Stars rookie Miro Heiskanen living up to Texas-sized expectations,greg
http://www.wohfradio.com/national-sports/old-man-ovechkin-is-still-learning-new-tricks/,'Old man' Ovechkin is still learning new tricks,greg
http://www.espn.com/nhl/story/_/id/25504034/old-man-alex-ovechkin-learning-new-tricks,'Old man' Alex Ovechkin is still learning new tricks,greg
http://www.espn.com/espn/now?nowId=21-41048205-4,Why was Toronto Maple Leafs forward Zach Hyman suspended two games for his hit on Charlie McAvoy of the Boston Bruins on Saturday night? Especially after Ryan Reaves escaped suspension for his seemingly similar hit on Tom Wilson? That's a question being a,greg
http://www.espn.com/nhl/story/_/id/25476333/why-how-nhl-expand-playoffs,Why (and how) the NHL should expand the playoffs,greg
http://www.wohfradio.com/national-sports/knights-signed-pics-of-reaves-hit-destroyed/,Knights: Signed pics of Reaves' hit 'destroyed',greg
http://www.espn.com/nhl/story/_/id/25474313/ryan-reaves-autographed-photos-hit-tom-wilson-destroyed,Ryan Reaves' autographed photos of hit on Tom Wilson 'destroyed',greg
http://www.espn.com/nhl/story/_/id/25460614/nhl-awards-watch-mackinnon-hart-mcdonagh-norris,"NHL Awards Watch: MacKinnon for Hart, McDonagh for Norris",greg
http://www.espn.com/nhl/story/_/id/25455116/translating-nhl-exec-quotes-board-governors-meeting,Translating NHL exec quotes from the board of governors meeting,greg
http://www.espn.com/nhl/story/_/id/25453653/we-tried-failed-rain-seattle-nhl-parade,"We tried, and failed, to rain on Seattle's NHL parade",greg
http://www.espn.com/nhl/story/_/id/25450873/patrick-gaul-best-player-world-week,Patrick Gaul is the best player in the world of the week,greg
http://www.espn.com/nhl/story/_/id/25443993/how-william-nylander-dominoes-fall-impact-matthews-marner-rantanen-more,How the William Nylander dominoes fall,greg
http://www.espn.com/espn/now?nowId=21-41047302-4,"The NHL Board of Governors has voted unanimously to grant an expansion team to Seattle for the 2021-22 season. Here's Gary Bettman's announcement. They'll play in the Pacific Division, with Arizona shifting to the Central Division.",greg
http://www.espn.com/espn/now?nowId=21-41047303-4,"Gary Bettman on moving the Arizona Coyotes to the Central Division In 2021-22: The team is mostly on Mountain time during the season, and that the geographic shift won't dramatically impact travel. He also said the Coyotes draw better against Central Divi",greg
http://www.espn.com/espn/now?nowId=21-41047309-4,"Will Seattle hold its expansion draft in its home arena, like the Vegas Golden Knights did? The team's president Tod Leiweke said that by waiting to enter the NHL until the 2020-21 season, when construction would be completed, it would create opportunitie",greg
http://www.espn.com/espn/now?nowId=21-41047243-4,"NHL realignment is coming whenever the NHL expansion franchise in Seattle arrives, either in 2020 or 2021. While the plan won't be announced until Sunday, there's significant indication that the Arizona Coyotes would be shifted to the Central Division whe",greg
http://www.espn.com/nhl/story/_/id/25444500/pittsburgh-penguins-trade-daniel-sprong-anaheim-ducks-marcus-pettersson,Pittsburgh Penguins trade Daniel Sprong to Anaheim Ducks for Marcus Pettersson,greg
http://www.espn.com/nhl/story/_/id/25436095/jeff-skinner-sabres-success-joining-bills-mafia-hurricanes-celebrations,"Jeff Skinner on Sabres' success, joining Bills Mafia and the Hurricanes' celebrations",greg
http://www.espn.com/espn/now?nowId=21-41047159-4,"Detroit Red Wings forward Tyler Bertuzzi will face supplemental discipline from the Department of Player Safety for his sucker punch on Matt Calvert of the Colorado Avalanche, a source tells ESPN. On Sunday, Calvert was checked near the Detroit bench by M",greg
http://www.espn.com/nhl/story/_/id/25437991/hershey-bears-ahl-affiliate-washington-capitals-set-teddy-bear-toss-record-collecting-34798-stuffed-animals,"Hershey Bears, AHL affiliate of Washington Capitals, set Teddy Bear Toss record by collecting 34,798 stuffed animals",greg
http://www.wohfradio.com/national-sports/leafs-nylander-ink-6-year-deal-before-deadline/,"Leafs, Nylander ink 6-year deal before deadline",greg
http://www.espn.com/nhl/story/_/id/25426361/william-nylander-toronto-maple-leafs-agree-6-year-4177m-deal,"William Nylander, Toronto Maple Leafs agree to 6-year, $41.77M deal",greg
http://www.espn.com/nhl/story/_/id/25410048/predators-goaltender-pekka-rinne-living-high-life,Predators goaltender Pekka Rinne is living the high life,greg
http://www.espn.com/nhl/story/_/id/25421831/tom-wilson-washington-capitals-ejected-hit-brett-seney-new-jersey-devils,"Tom Wilson, Washington Capitals, ejected hit Brett Seney, New Jersey Devils",greg
http://www.espn.com/nhl/story/_/id/25403785/nhl-power-rankings-week-8-players-leveled-2018-19,NHL Power Rankings: Players who have leveled up in 2018-19,greg
http://www.espn.com/nhl/story/_/id/25393295/patrik-laine-best-hockey-player-world-week,Patrik Laine is the best hockey player in the world of the week,greg
http://www.espn.com/nhl/story/_/id/25392358/philadelphia-flyers-desire-win-now-reason-ron-hextall-firing,Flyers' desire to win now reason for Ron Hextall's firing,greg
http://www.espn.com/nhl/story/_/id/25387527/nhl-takeaways-concerns-bold-predictions-all-31-teams-quarter-season-mark,"Takeaways, concerns, bold predictions for all 31 teams at quarter-season mark",greg
http://www.wohfradio.com/national-sports/new-direction-struggling-flyers-fire-gm-hextall/,New direction: Struggling Flyers fire GM Hextall,greg
http://www.wohfradio.com/national-sports/brayden-point-emerging-as-tampa-bays-most-valuable-player/,Brayden Point emerging as Tampa Bay's most valuable player,greg
http://www.espn.com/espn/now?nowId=21-41045958-4,"What was it like for Washington Capitals forward Tom Wilson to be out of action for the first 16 games of the season due to suspension, and to go through the NHL appeals process? ""It was a crazy process. An eye-opening process. It's something you never wa",greg
http://www.espn.com/nhl/story/_/id/25373329/nhl-tampa-bay-lightning-forward-brayden-point-rising-superstar-loves-napping,"Tampa Bay Lightning forward Brayden Point a rising superstar, loves napping",greg
http://www.espn.com/nhl/story/_/id/25355170/nhl-wysh-list-exactly-plan-here-edmonton-oilers-jersey-fouls-puck-headlines-more,"The Wysh List: What exactly is the plan here, Oilers?",greg
http://www.espn.com/olympics/hockey/story/_/id/25355251/jaromir-jagr-named-hockey-ambassador-2022-games,Jaromir Jagr named hockey ambassador for 2022 Games,greg
http://www.espn.com/nhl/story/_/id/25333332/nhl-power-rankings-week-7-all-31-teams-thanksgiving-dish,NHL Power Rankings: All 31 teams as a Thanksgiving dish,greg
http://www.espn.com/nhl/story/_/id/25332378/nhl-young-player-fought-philadelphia-flyers-mascot-gritty-best-player-world-week,Young player who fought Philadelphia Flyers mascot Gritty is the best player in the world of the week,greg
http://www.espn.com/nhl/story/_/id/25328180/nhl-nashville-predators-atlanta-gladiators-pull-red-carpet-young-fan-northern-ireland,"NHL -- Nashville Predators, Atlanta Gladiators pull out red carpet for young fan from Northern Ireland",greg
http://www.espn.com/nhl/story/_/id/25328363/struggling-blues-fire-mike-yeo-name-craig-berube-interim-replacement,"Struggling Blues fire Mike Yeo, name Craig Berube interim replacement",greg
http://www.espn.com/espn/now?nowId=21-41044947-4,"After Mike Yeo's firing, there's one thing crystal clear about the St. Louis Blues and GM Doug Armstrong: The hiring of Yeo as the associate coach understudy for Ken Hitchcock in 2016 was an unmitigated catastrophe. He was a snatched up like a precious as",greg
http://www.espn.com/espn/now?nowId=21-41044983-4,"When Ken Hitchcock was named new Edmonton Oilers head coach on Tuesday, there was immediate speculation about how that hiring process played out. Was this the choice of embattled general manager Peter Chiarelli? Was this the choice of team CEO Bob Nichols",greg
http://www.espn.com/nhl/story/_/id/25292958/nhl-players-deserve-better-this,NHL players deserve better than this,greg
http://www.espn.com/espn/now?nowId=21-41044188-4,"You're never as good as they say and you're never as bad as they say.""",greg
http://www.espn.com/nhl/story/_/id/25278477/nhl-power-rankings-week-6-troubling-trends-all-31-teams,NHL Power Rankings: Troubling trends for all 31 teams,greg
http://www.espn.com/nhl/insider/story/_/id/25275438/nhl-trade-grades-tanner-pearson-carl-hagelin-deal-pittsburgh-penguins-los-angeles-kings,"Trade grades for Tanner Pearson-Carl Hagelin deal for Pittsburgh Penguins, Los Angeles Kings",greg
http://www.espn.com/nhl/story/_/id/25275439/pittsburgh-penguins-trade-carl-hagelin-los-angeles-kings-tanner-pearson,Pittsburgh Penguins trade Carl Hagelin to Los Angeles Kings for Tanner Pearson,greg
http://www.espn.com/nhl/story/_/id/25269219/nhl-jay-buselli-best-player-world-week,Jay Buselli is the best player in the world of the week,greg
http://www.espn.com/nhl/story/_/id/25268252/angela-ruggiero-applauds-addition-cassie-campbell-pascall-hockey-hall-fame-selection-committee,Angela Ruggiero applauds addition of Cassie Campbell-Pascall to Hockey Hall of Fame Selection Committee,greg
http://www.espn.com/nhl/story/_/id/25265851/nhl-early-projections-2019-hockey-hall-fame-class,Early projections for the 2019 Hockey Hall of Fame class,greg
http://www.espn.com/espn/now?nowId=21-41043799-4,Gary Bettman surprised some during his Hockey Hall of Fame induction speech on Monday by making reference to the work stoppages that occurred on his watch as commissioner. Bettman presided over three lockouts that lost the NHL a total of 146 regular-seaso,greg
http://www.espn.com/nhl/story/_/id/25260337/nhl-welcomes-willie-oree-gary-bettman-martin-brodeur-hall-fame-inductees,"NHL welcomes Willie O'Ree, Gary Bettman, Martin Brodeur among Hall of Fame inductees",greg
http://www.espn.com/espn/now?nowId=21-41043795-4,"Wayne Gretzky was asked about the roughly $22,000 each player in the NHL concussion lawsuit settlement is set to receive, and whether that was sufficient. ""If the lawyers for the alumni and the union and the players have decided that's fair, so be it,"" sa",greg
http://www.espn.com/espn/now?nowId=21-41043769-4,"I can't tell if this is creepy or awesome, but the Hockey Hall of Fame has living ""mannequins"" modeling jerseys for their induction night silent action. They move into a different hockey card pose every few minutes.",greg
http://www.espn.com/nhl/story/_/id/25224267/was-martin-brodeur-overrated,Weekly Reader: Was Martin Brodeur overrated?,greg
http://www.espn.com/nhl/story/_/id/25217067/nhl-detroit-red-wings-dennis-cholowski-put-work-rise-ranks,Detroit Red Wings' Dennis Cholowski put in the work to rise through the ranks,greg
http://www.espn.com/nhl/story/_/id/25221441/washington-capitals-50-50-raffle-winner-donating-pittsburgh-shooting-victims-fund,Washington Capitals 50-50 raffle winner donating to Pittsburgh shooting victims fund,greg
http://www.espn.com/espn/now?nowId=21-41043185-4,"I spoke with the Washington Capitals season-ticket holder that donated his portion of the team's 50/50 raffle (over $19,000) held on Wednesday night to the victims and families of the Tree of Life Synagogue in Pittsburgh, where a shooting on Oct. 27 left ",greg
http://www.espn.com/nhl/story/_/id/25215863/evgeni-malkin-pittsburgh-penguins-face-more-discipline,Evgeni Malkin of Pittsburgh Penguins won't face more discipline,greg
http://www.espn.com/espn/now?nowId=21-41042924-4,"The Boston Bruins' Winter Classic jerseys have been revealed, for the game scheduled for Jan. 1, 2019, at Notre Dame against the Chicago Blackhawks. These throwbacks reference the team's 1930s era uniforms, to the point where the crest features a ""a two-l",greg
http://www.espn.com/nhl/story/_/id/25211055/nhl-power-rankings-week-5-standout-rookies-all-31-teams,NHL Power Rankings: Standout rookies for all 31 teams,greg
https://www.yahoo.com/blogs/nhl-puck-daddy/behind-scenes-swedish-sex-toy-hockey-stunt--nhl.html,Behind the scenes of the Swedish sex-toy hockey stunt,greg
http://www.espn.com/chalk/story/_/id/25209329/los-angeles-kings-president-luc-robitaille-explains-why-gambling-revenue-affect-nhl-ticket-prices,Los Angeles Kings president Luc Robitaille explains why gambling revenue could affect NHL ticket prices,greg
http://www.espn.com/nhl/story/_/id/25197640/nhl-zac-dalpe-cleveland-monsters-player-world-week,Zac Dalpe of the Cleveland Monsters is the player of the world of the week,greg
http://www.espn.com/nhl/story/_/id/25195157/nhl-faq-chicago-blackhawks-firing-joel-quenneville,"What's next for Blackhawks, Quenneville after stunning firing?",greg
